Year,Region,Vehicle,Distance
2000,North East,pedal_cycles,91.4
2000,North East,two_wheeled_motor_vehicles,73.5
2000,North East,cars_and_taxis,9317
2000,North East,buses_and_coaches,190
2000,North East,LGVs,1206.4
2000,North East,all_HGVs,527.8
2000,North East,all_motor_vehicles,11314.6
2001,South West,pedal_cycles,231.9
2001,South West,two_wheeled_motor_vehicles,360.3
2001,South West,cars_and_taxis,22726.7
2001,South West,buses_and_coaches,276.2
2001,South West,LGVs,3163.1
2001,South West,all_HGVs,1536
2001,South West,all_motor_vehicles,28062.3
2001,East Midlands,pedal_cycles,209.8
2001,East Midlands,two_wheeled_motor_vehicles,214.5
2001,East Midlands,cars_and_taxis,18661
2001,East Midlands,buses_and_coaches,203.1
2001,East Midlands,LGVs,2736.9
2001,East Midlands,all_HGVs,1958.9
2001,East Midlands,all_motor_vehicles,23774.4
2001,Scotland,pedal_cycles,146.4
2001,Scotland,two_wheeled_motor_vehicles,162.4
2001,Scotland,cars_and_taxis,19824.4
2001,Scotland,buses_and_coaches,375.1
2001,Scotland,LGVs,2897
2001,Scotland,all_HGVs,1489.8
2001,Scotland,all_motor_vehicles,24748.6
2001,Wales,pedal_cycles,81
2001,Wales,two_wheeled_motor_vehicles,133.3
2001,Wales,cars_and_taxis,12597.3
2001,Wales,buses_and_coaches,170.1
2001,Wales,LGVs,1854.4
2001,Wales,all_HGVs,774.4
2001,Wales,all_motor_vehicles,15529.5
2001,North West,pedal_cycles,265.7
2001,North West,two_wheeled_motor_vehicles,252
2001,North West,cars_and_taxis,26759
2001,North West,buses_and_coaches,359.1
2001,North West,LGVs,3474.7
2001,North West,all_HGVs,2121.2
2001,North West,all_motor_vehicles,32966
2001,London,pedal_cycles,303.2
2001,London,two_wheeled_motor_vehicles,470.7
2001,London,cars_and_taxis,16581.8
2001,London,buses_and_coaches,318.6
2001,London,LGVs,2275.2
2001,London,all_HGVs,683.6
2001,London,all_motor_vehicles,20329.9
2001,East of England,pedal_cycles,390.7
2001,East of England,two_wheeled_motor_vehicles,342.5
2001,East of England,cars_and_taxis,25900.3
2001,East of England,buses_and_coaches,295.5
2001,East of England,LGVs,3930.1
2001,East of England,all_HGVs,2062.4
2001,East of England,all_motor_vehicles,32530.8
